41,"Raging" Al Iaquinta,14-4-1,https://images.tapology.com/headshot_images/15047/icon/Al-Iaquinta.png?1422231556
42,"Funky" Ben Askren,18-0-0 / 1 NC,https://images.tapology.com/headshot_images/1544/icon/ben-askren-hs.jpg?1541478431
43,Anthony "Lionheart" Smith,31-13-0,https://images.tapology.com/headshot_images/4210/icon/Anthony-Smith-hs.png?1486871476
44,Anthony "Showtime" Pettis,21-8-0,https://images.tapology.com/headshot_images/81/icon/Anthony-Pettis.jpeg?1421714789
45,Santiago "Gente Boa" Ponzinibbio,27-3-0,https://images.tapology.com/headshot_images/29349/icon/Santiago_Ponzinibbio-hs.jpg?1542432210
46,Justin "The Highlight" Gaethje,19-2-0,https://images.tapology.com/headshot_images/16421/icon/Justin-Gaethje.jpg?1427131924
47,Derrick "The Black Beast" Lewis,21-6-0 / 1 NC,https://images.tapology.com/headshot_images/14023/icon/Derrick-Lewis-hs.jpeg?1424739614
48,Alexander "The Great" Volkanovski,19-1-0,https://images.tapology.com/headshot_images/41705/icon/RIBZ.jpg?1546052277
49,John "Hands of Stone" Lineker,31-8-0,https://images.tapology.com/headshot_images/15880/icon/John-Lineker-hs.png?1422232039
50,Ryan "Darth" Bader,26-5-0,https://images.tapology.com/headshot_images/37/icon/Bader-Ryan-TUF8-2.jpg?1423700988
51,Alistair "The Demolition Man" Overeem,44-17-0 / 1 NC,https://images.tapology.com/headshot_images/550/icon/Alistair-Overeem-hs.jpg?1425924492
52,Zabit Magomedsharipov,16-1-0,https://images.tapology.com/headshot_images/36040/icon/Zabit_Magomedsharipov.jpg?1536471412
53,Jimmie "El Terror" Rivera,22-2-0,https://images.tapology.com/headshot_images/1717/icon/Jimmie-Rivera-hs.jpg?1377569498
54,Renato Moicano,13-1-1,https://images.tapology.com/headshot_images/16950/icon/Renato_Moicano-hs.jpg?1544647158
55,Jan Błachowicz,23-7-0,https://images.tapology.com/headshot_images/11301/icon/Jan-Blachowicz.jpg?1437018172
56,Junior "Cigano" dos Santos,20-5-0,https://images.tapology.com/headshot_images/268/icon/Junior_dos_Santos.jpg?1531107641
57,Rory "Red King" MacDonald,20-5-0,https://images.tapology.com/headshot_images/858/icon/Rory-MacDonald-hs.jpg?1392928162
58,Donald "Cowboy" Cerrone,35-11-0 / 1 NC,https://images.tapology.com/headshot_images/240/icon/Donald-Cerrone-hs.jpg?1406781908
59,Demian Maia,25-9-0,https://images.tapology.com/headshot_images/358/icon/Demian-Maia-hs.jpg?1392928271
60,Volkan "No Time" Oezdemir,15-3-0,https://images.tapology.com/headshot_images/35488/icon/Volkan-Oezdemir-hs.jpg?1368108789
61,Chad "Money" Mendes,18-5-0,https://images.tapology.com/headshot_images/675/icon/Mendes-Chad-WEC47-3.jpg?1276093694
63,Alexander "Drago" Volkov,30-7-0,https://images.tapology.com/headshot_images/3992/icon/Alexander-Volkov-hs.jpg?1389294138
62,Nate Diaz,19-11-0,https://images.tapology.com/headshot_images/216/icon/Diaz-Nate-TUF9-2.jpg?1276093687
64,Edson "Junior" Barboza,20-6-0,https://images.tapology.com/headshot_images/8384/icon/Edson_Barboza.jpg?1544408129
65,Paulo "Borrachinha" Costa,12-0-0,https://images.tapology.com/headshot_images/64306/icon/borrachinha2.jpg?1484692942
66,Yair "El Pantera" Rodriguez,11-2-0,https://images.tapology.com/headshot_images/70995/icon/Yair-Rodriguez.jpg?1466043842
67,Dominick "The Devastator" Reyes,10-0-0,https://images.tapology.com/headshot_images/61438/icon/Dominick_Reyes-hs.jpg?1520971129
68,Corey "Overtime" Anderson,12-4-0,https://images.tapology.com/headshot_images/29807/icon/Corey-Anderson-hs.jpeg?1422414160
69,Kyoji Horiguchi,26-2-0,https://images.tapology.com/headshot_images/19983/icon/Kyogi-Horiguchi.jpg?1423585112
70,Ilir "The Sledgehammer" Latifi,14-6-0 / 1 NC,https://images.tapology.com/headshot_images/4649/icon/Ilir-Latif-hsi.jpg?1400183961
71,Aljamain "Funk Master" Sterling,16-3-0,https://images.tapology.com/headshot_images/13201/icon/Aljamain-Sterling-hs.jpeg?1422414318
72,Sergio "The Phenom" Pettis,17-5-0,https://images.tapology.com/headshot_images/17135/icon/Sergio-Pettis-hs.jpg?1425924776
73,Ricardo "The Bully" Lamas,19-7-0,https://images.tapology.com/headshot_images/383/icon/Ricardo-Lamas-hs.jpg?1421790391
74,Thiago "Marreta" Santos,20-6-0,https://images.tapology.com/headshot_images/31174/icon/Thiago_Santos-hs.jpg?1537678751
75,"The Korean Zombie" Chan Sung Jung,14-5-0,https://images.tapology.com/headshot_images/160/icon/Chan-Sung-Jung-WEC-51-w_6815.jpg?1541393433
76,Gregor "The Gift" Gillespie,13-0-0,https://images.tapology.com/headshot_images/33830/icon/Gregor_Gillespie.jpg?1513297168
77,Lyoto "The Dragon" Machida,25-8-0,https://images.tapology.com/headshot_images/19/icon/Lyoto-Machida-hs.jpeg?1422414384
78,"The Last Emperor" Fedor Emelianenko,38-5-0 / 1 NC,https://images.tapology.com/headshot_images/10/icon/Emelianenko-Fedor-Aff1-5.jpg?1276093554
79,Jeremy "Lil' Heathen" Stephens,28-15-0,https://images.tapology.com/headshot_images/36/icon/Jeremy-Stephens-hs.jpg?1427771684
80,Douglas "The Phenom" Lima,30-7-0,https://images.tapology.com/headshot_images/2129/icon/Lima_Douglas.jpg?1284494840
81,James "The Texecutioner" Vick,13-2-0,https://images.tapology.com/headshot_images/16488/icon/James-Vick.png?1489113541
82,Michael "Maverick" Chiesa,14-4-0,https://images.tapology.com/headshot_images/15253/icon/Chiesa-Michael-UFC157-1-hs.jpg?1361651965
83,Alexey "The Boa Constrictor" Oleinik,57-11-1,https://images.tapology.com/headshot_images/3702/icon/Alexey_Oleinik.jpg?1536552943
84,Vitaly Minakov,21-0-0,https://images.tapology.com/headshot_images/31420/icon/Vitaly-Minakov-hs.jpg?1343349280
86,Alex "Cowboy" Oliveira,20-6-1 / 2 NC,https://images.tapology.com/headshot_images/45649/icon/Alex_Oliveira-hs.jpg?1536605090
85,"Iron" Michael Chandler,19-4-0,https://images.tapology.com/headshot_images/923/icon/Chandler-Mike-SF21-2.jpg?1276375545
87,Anderson "The Spider" Silva,34-8-0 / 1 NC,https://images.tapology.com/headshot_images/127/icon/Silva-Anderson-UFC82-2.jpg?1276093516
88,Mirsad Bektic,13-1-0,https://images.tapology.com/headshot_images/12567/icon/Mirsad-Bektic-hs.jpg?1395407492
89,Daniel "The Hangman" Hooker,17-8-0,https://images.tapology.com/headshot_images/18854/icon/Daniel-Hooker-hs.jpg?1401290752
90,Michael "Venom" Page,13-0-0,https://images.tapology.com/headshot_images/21208/icon/Michael-Page-hs.jpg?1543601349
